hx_id,empirical_reference_start,empirical_reference_end,empirical_reference_status,source_reference_status,empirical_reference_valid_records,reference_ua_empirical,reference_ua_empirical_unit,reference_u_w_m2_k,empirical_reference_confidence,empirical_reference_warning_code,relative_ua_empirical_min,relative_ua_empirical_max,relative_performance_loss_min,relative_performance_loss_max,records_above_reference_pct,valid_record_count,cleaning_event_confirmed,clean_condition_confirmed,interpretation,impact_status,network_effects_included
E101AB,2024-06-15 00:00:00+07:00,2024-06-28 00:00:00+07:00,EMPIRICAL_HIGH_PERFORMANCE_REFERENCE,HIGH_PERFORMANCE_POST_TAM_REFERENCE,14,150.98804867370225,kW/K,105.36500256364428,MEDIUM_DESCRIPTIVE_ONLY,,0.38737181006316346,1.177601846607234,-0.177601846607234,0.6126281899368365,1.7089305402425579,1814,False,False,"Relative thermal performance against a high-performance historical period, not a confirmed clean-state fouling measurement.",BLOCKED_BY_REFERENCE_SEMANTICS,False
E101CD,2024-06-15 00:00:00+07:00,2024-06-28 00:00:00+07:00,EMPIRICAL_HIGH_PERFORMANCE_REFERENCE,HIGH_PERFORMANCE_POST_TAM_REFERENCE,14,134.8186519432868,kW/K,287.4598122458141,MEDIUM_DESCRIPTIVE_ONLY,,0.35645762883702015,1.071568553812651,-0.07156855381265093,0.6435423711629799,1.6863406408094435,1779,False,False,"Relative thermal performance against a high-performance historical period, not a confirmed clean-state fouling measurement.",BLOCKED_BY_REFERENCE_SEMANTICS,False
E102,2024-06-15 00:00:00+07:00,2024-07-02 00:00:00+07:00,EMPIRICAL_HIGH_PERFORMANCE_REFERENCE,HIGH_PERFORMANCE_POST_TAM_REFERENCE,14,102.75401158571428,kW/K,355.5502130993574,MEDIUM_DESCRIPTIVE_ONLY,,0.16362307490557246,1.2594241665792194,-0.2594241665792194,0.8363769250944275,0.7058823529411765,1700,False,False,"Relative thermal performance against a high-performance historical period, not a confirmed clean-state fouling measurement.",BLOCKED_BY_REFERENCE_SEMANTICS,False
E104,2024-06-16 00:00:00+07:00,2024-07-01 00:00:00+07:00,EMPIRICAL_HIGH_PERFORMANCE_REFERENCE,HIGH_PERFORMANCE_POST_TAM_REFERENCE,14,142.97342902510917,kW/K,210.87526404883357,MEDIUM_DESCRIPTIVE_ONLY,,0.3967463128101761,1.0791621214464946,-0.0791621214464946,0.603253687189824,2.2465437788018434,1736,False,False,"Relative thermal performance against a high-performance historical period, not a confirmed clean-state fouling measurement.",BLOCKED_BY_REFERENCE_SEMANTICS,False
